date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Oct 29 2019 13:25:58 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,Treats you well!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Tue Oct 29 2019 17:12:33 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,5.0,4.0
Tue Oct 29 2019 23:16:30 GMT-0700 (北美太平洋夏令时间), Financial Analyst,"Cupertino, CA",Current Employee ,Great Place to Work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,4.0,4.0,5.0
Tue Oct 29 2019 00:44:38 GMT-0700 (北美太平洋夏令时间),,"Honolulu, HI",Current Employee ,Fun to be in,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 28 2019 15:45:02 GMT-0700 (北美太平洋夏令时间),,"Novi, MI",Former Employee ,Great Company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,4.0,5.0,5.0,3.0
Mon Oct 28 2019 16:58:08 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,One Happy Cog,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,4.0,5.0,4.0,4.0
Tue Oct 29 2019 10:37:28 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,Technical Specialist,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,4.0,3.0
Sun Oct 27 2019 20:16:07 GMT-0700 (北美太平洋夏令时间),,"Fremont, CA",Former Employee ,Analyst,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Mon Oct 28 2019 12:10:02 GMT-0700 (北美太平洋夏令时间),,, ,Individual contributor 3,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,3.0,5.0,5.0,3.0
Mon Oct 28 2019 12:28:07 GMT-0700 (北美太平洋夏令时间),,"Sunnyvale, CA",Former Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,4.0,5.0,4.0
Sat Oct 26 2019 14:22:48 GMT-0700 (北美太平洋夏令时间), Specialist,"Palo Alto, CA",Current Employee ,Great experience,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,4.0,5.0
Sun Oct 27 2019 05:01:34 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,System Engineer,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Fri Oct 25 2019 14:58:52 GMT-0700 (北美太平洋夏令时间),,"Smithtown, NY",Current Employee ,Technical Specialist,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Fri Oct 25 2019 17:43:10 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,Great Company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Sat Oct 26 2019 06:38:05 GMT-0700 (北美太平洋夏令时间),,"Walnut Creek, CA",Current Employee ,Specialist,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,3.0,5.0,4.0
Sat Oct 26 2019 06:18:30 GMT-0700 (北美太平洋夏令时间),,"Greenville, SC",Former Employee ,Great in the short term unless you want to move up in the company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,5.0,5.0,3.0
Fri Oct 25 2019 07:00:03 GMT-0700 (北美太平洋夏令时间),,,Former Employee ,Working at apple is fun...,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Wed Oct 23 2019 16:22:37 GMT-0700 (北美太平洋夏令时间), Technical Specialist,,Former Employee ,Great job to learn life long skills,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 23 2019 18:17:00 GMT-0700 (北美太平洋夏令时间), Mac Advisor,"Los Angeles, CA",Former Employee ,Great company to work for!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 23 2019 21:01:18 GMT-0700 (北美太平洋夏令时间), College Advisor,,Former Employee ,AHA Advisor,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 24 2019 12:32:53 GMT-0700 (北美太平洋夏令时间), Specialist,,Current Employee ,Good,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,4.0,4.0,4.0,
Tue Oct 22 2019 20:52:30 GMT-0700 (北美太平洋夏令时间), Business Analyst,,Former Employee ,"Amazing place to work, great work environment",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 22 2019 21:34:45 GMT-0700 (北美太平洋夏令时间), Specialist,"Santa Clara, CA",Current Employee ,Apple is an amazing place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,4.0,4.0,5.0
Tue Oct 22 2019 16:53:13 GMT-0700 (北美太平洋夏令时间), AppleCare Senior Advisor,,Former Employee ,Great Entry Job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Tue Oct 22 2019 17:37:44 GMT-0700 (北美太平洋夏令时间), Genius,,Former Employee ,Good company to work for,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,4.0,3.0
Tue Oct 22 2019 21:49:55 GMT-0700 (北美太平洋夏令时间), Human Resources Business Partner,"Cupertino, CA",Current Employee ,Becoming disenchanted,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,5.0,3.0,4.0,5.0
Mon Oct 21 2019 15:32:35 GMT-0700 (北美太平洋夏令时间), Specialist,,Current Employee ,Sales specialist and customer relations,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Mon Oct 21 2019 23:42:03 GMT-0700 (北美太平洋夏令时间), Producer,,Current Employee ,"Great people, hard place to learn",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,4.0,5.0,3.0
Tue Oct 22 2019 06:22:21 GMT-0700 (北美太平洋夏令时间), IOS Technical Support Advisor,"Miami, FL",Current Employee ,Great college opportunity,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,3.0,5.0,4.0
Tue Oct 22 2019 06:38:56 GMT-0700 (北美太平洋夏令时间),,"Los Angeles, CA",Current Employee ,Good job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,3.0,3.0,5.0
Sun Oct 20 2019 21:04:11 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Austin, TX",Current Employee ,Good place to work at!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,4.0,4.0
Sun Oct 20 2019 09:55:43 GMT-0700 (北美太平洋夏令时间), Advisor,,Current Employee ,Good job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 15 2019 19:02:28 GMT-0700 (北美太平洋夏令时间), At,"Austin, TX",Current Employee ,Apple At-Home Advisor,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,3.0,5.0,5.0
Sat Oct 19 2019 19:27:57 GMT-0700 (北美太平洋夏令时间), Operations Specialist,,Current Employee ,Great Company!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,1.0,5.0,3.0,3.0,4.0
Sun Oct 20 2019 11:11:09 GMT-0700 (北美太平洋夏令时间), Product Specialist,,Former Employee ,A Different Kind of Culture,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,5.0,4.0,5.0,5.0
Tue Oct 15 2019 08:04:50 GMT-0700 (北美太平洋夏令时间), Specialist,"Garden City, NY",Current Employee ,Great Company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,3.0
Tue Oct 15 2019 08:28:31 GMT-0700 (北美太平洋夏令时间), Specialist,"New York, NY",Current Employee ,Great Place to Work Part Time,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,4.0,5.0,5.0
Fri Oct 18 2019 21:09:25 GMT-0700 (北美太平洋夏令时间), Expert,,Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,4.0,4.0
Sat Nov 02 2019 07:23:21 GMT-0700 (北美太平洋夏令时间), Senior Program Manager,"Cupertino, CA",Current Employee ,Good place but compensation lags,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,4.0,5.0,3.0,2.0,3.0
Tue Oct 15 2019 13:29:05 GMT-0700 (北美太平洋夏令时间), Mac Genius,"New York, NY",Current Employee ,Great to work for,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,5.0,4.0,4.0,3.0
Thu Oct 17 2019 13:39:55 GMT-0700 (北美太平洋夏令时间), Technical Support,"Indianapolis, IN",Current Employee ,Good Training,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Sun Oct 13 2019 18:17:12 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Cupertino, CA",Current Employee ,A great place for Software Engineers,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 17 2019 19:30:28 GMT-0700 (北美太平洋夏令时间), Manager,"Chicago, IL",Current Employee ,A thrill a minute,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,4.0,3.0,5.0,4.0
Fri Nov 01 2019 10:53:16 GMT-0700 (北美太平洋夏令时间), Technical Specialist,,Former Employee ,Good for short term or part time,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,2.0,5.0,3.0,5.0,5.0
Wed Oct 16 2019 15:58:27 GMT-0700 (北美太平洋夏令时间), Customer Service Representative,"Austin, TX",Former Employee ,Apple review,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 16 2019 16:21:00 GMT-0700 (北美太平洋夏令时间), Specialist,"Los Angeles, CA",Current Employee ,invested in people,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,5.0
Wed Oct 16 2019 19:19:24 GMT-0700 (北美太平洋夏令时间),,, ,A great place to change the world.,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 16 2019 21:33:54 GMT-0700 (北美太平洋夏令时间), Product Zone Specialist,"Boston, MA",Former Employee ,Amazing work experience,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,3.0,4.0,3.0
Thu Oct 17 2019 12:30:24 GMT-0700 (北美太平洋夏令时间), Genius,,Former Employee ,Great stepping stone into future careers.,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,3.0,5.0,4.0
Fri Nov 01 2019 08:02:45 GMT-0700 (北美太平洋夏令时间), EPM,,Former Employee ,Good,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",2.0,3.0,1.0,3.0,4.0,1.0
Thu Oct 17 2019 10:58:13 GMT-0700 (北美太平洋夏令时间), Technical Specialist,,Current Employee ,Probably the best perks you'll receive in retail,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,5.0,3.0,
Wed Oct 30 2019 19:55:24 GMT-0700 (北美太平洋夏令时间), Senior Demand Planner,"Austin, TX",Current Employee ,"Great perks and benefits, not a lot of career growth opportunity",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,1.0,2.0,1.0,3.0,2.0
Mon Oct 14 2019 08:42:58 GMT-0700 (北美太平洋夏令时间), Technical Specialist,"Chicago, IL",Current Employee ,"Lots of fun, Lots of burning out",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,5.0,4.0,5.0,5.0
Wed Oct 16 2019 06:48:19 GMT-0700 (北美太平洋夏令时间), Product Specialist,,Current Employee ,Great College Job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 16 2019 11:31:49 GMT-0700 (北美太平洋夏令时间), Campus Representative,,Current Employee ,Good for college students,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 16 2019 12:56:07 GMT-0700 (北美太平洋夏令时间), Campus Representative,,Current Employee ,Great environment to work in!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 31 2019 05:50:51 GMT-0700 (北美太平洋夏令时间),,, ,Avoid Marcom,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",2.0,1.0,4.0,3.0,2.0,2.0
Fri Oct 11 2019 23:17:39 GMT-0700 (北美太平洋夏令时间), AppleCare Senior Technical Advisor,"Kansas City, KS",Current Employee ,Highly invested in people,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,4.0,4.0,5.0
Tue Oct 15 2019 13:27:55 GMT-0700 (北美太平洋夏令时间), Mac Advisor,,Current Employee ,Good place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Mon Oct 14 2019 13:23:15 GMT-0700 (北美太平洋夏令时间), Specialist,,Current Employee ,Amazing Culture,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 14 2019 21:32:41 GMT-0700 (北美太平洋夏令时间), Sales Specialist,,Current Employee ,Great place,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,4.0,5.0,5.0
Sun Oct 13 2019 21:54:46 GMT-0700 (北美太平洋夏令时间), Genius Administrator,,Former Employee ,Good job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 08 2019 16:53:37 GMT-0700 (北美太平洋夏令时间), ASLP Associate,"Washington, DC",Former Employee ,Great Place to Work if You're Committed,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,4.0,4.0,4.0,4.0
Sun Oct 27 2019 11:21:07 GMT-0700 (北美太平洋夏令时间),,"Houston, TX",Former Employee ,Family engagement assistant,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,3.0,5.0,2.0,2.0,1.0
Fri Oct 11 2019 17:28:19 GMT-0700 (北美太平洋夏令时间),,, ,Electrical engineer working on system design for one of the products in the line up.,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,3.0,2.0,3.0,4.0
Sat Oct 12 2019 07:51:00 GMT-0700 (北美太平洋夏令时间), Business Expert,,Current Employee ,Good place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,3.0,4.0,4.0
Sat Oct 12 2019 12:37:09 GMT-0700 (北美太平洋夏令时间), Software Quality Assurance Engineer,"Cupertino, CA",Current Employee ,Great workplace if you're self motivated and don't require feedback,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,5.0,3.0
Fri Oct 25 2019 22:55:28 GMT-0700 (北美太平洋夏令时间),,"Raleigh, NC",Current Employee ,Genius - retail,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,3.0,4.0,2.0,3.0,1.0
Sat Oct 26 2019 09:03:27 GMT-0700 (北美太平洋夏令时间),,"San Francisco, CA",Current Employee ,Disappointed in service and management,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,4.0,3.0,3.0,4.0,2.0
Fri Oct 04 2019 11:26:19 GMT-0700 (北美太平洋夏令时间), Apple Genius,"New York, NY",Current Employee ,Great stepping stone,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,3.0,3.0,5.0
Mon Oct 07 2019 13:00:51 GMT-0700 (北美太平洋夏令时间), Specialist,"Syracuse, NY",Former Employee ,Amazing,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 10 2019 19:11:03 GMT-0700 (北美太平洋夏令时间), Customer Service Representative,"Kansas City, MO",Former Employee ,Very freindly,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,3.0,3.0,5.0,5.0
Fri Oct 11 2019 09:44:26 GMT-0700 (北美太平洋夏令时间), Technical Expert,"Houston, TX",Current Employee ,Great Job and Benefits,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,3.0,4.0,3.0
Sun Sep 29 2019 19:54:21 GMT-0700 (北美太平洋夏令时间), Product Specialist,"Orlando, FL",Current Employee ,Sales associate,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,1.0,5.0,5.0,1.0
Wed Oct 09 2019 13:46:59 GMT-0700 (北美太平洋夏令时间), Genius,"New York, NY",Former Employee ,Great time,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,3.0,4.0
Thu Oct 10 2019 10:36:53 GMT-0700 (北美太平洋夏令时间), Financial Analyst,"Cupertino, CA",Former Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 09 2019 13:15:42 GMT-0700 (北美太平洋夏令时间), Sales Associate,,Former Employee ,Pretty Decent,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,4.0,4.0
Wed Oct 09 2019 16:09:30 GMT-0700 (北美太平洋夏令时间), Team Manager,"Austin, TX",Current Employee ,Not the worst place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,3.0,4.0,2.0
Thu Oct 10 2019 13:07:22 GMT-0700 (北美太平洋夏令时间), Technical Specialist,,Current Employee ,Personal Experience,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,5.0,4.0,3.0,3.0
Tue Oct 08 2019 20:58:27 GMT-0700 (北美太平洋夏令时间), Systems Design Engineer,,Current Employee ,Pros and Cons of working at Apple,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 08 2019 13:31:11 GMT-0700 (北美太平洋夏令时间), Technical Support Expert,,Former Employee ,great if you enjoy retail,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,5.0,4.0,4.0,3.0
Wed Oct 09 2019 09:44:05 GMT-0700 (北美太平洋夏令时间), Business Expert,"Seattle, WA",Former Employee ,"Good Environment to Learn Account Management, Poor Salary",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,4.0,3.0,2.0,4.0
